DISTRICT,DDA00A001221R,DDA00A001321R,DDA00A001S21R,DDA00AC01221R,DDA00AC01321R,DDA00AC01S21R,DDA00AM01221R,DDA00AM01321R,DDA00AM01S21R,DDA00AR01221R,DDA00AR01321R,DDA00AR01S21R,DDA00AS01221R,DDA00AS01321R,DDA00AS01S21R,DDA00AW01221R,DDA00AW01321R,DDA00AW01S21R,DDC00A001221R,DDC00A001321R,DDC00A001S21R,DDC00AC01221R,DDC00AC01321R,DDC00AC01S21R,DDC00AM01221R,DDC00AM01321R,DDC00AM01S21R,DDC00AR01221R,DDC00AR01321R,DDC00AR01S21R,DDC00AS01221R,DDC00AS01321R,DDC00AS01S21R,DDC00AW01221R,DDC00AW01321R,DDC00AW01S21R,DDJ00A001221R,DDJ00A001321R,DDJ00A001S21R,DDJ00AC01221R,DDJ00AC01321R,DDJ00AC01S21R,DDJ00AM01221R,DDJ00AM01321R,DDJ00AM01S21R,DDJ00AR01221R,DDJ00AR01321R,DDJ00AR01S21R,DDJ00AS01221R,DDJ00AS01321R,DDJ00AS01S21R,DDJ00AW01221R,DDJ00AW01321R,DDJ00AW01S21R,DDK00A001221R,DDK00A001321R,DDK00A001S21R,DDK00AC01221R,DDK00AC01321R,DDK00AC01S21R,DDK00AM01221R,DDK00AM01321R,DDK00AM01S21R,DDK00AR01221R,DDK00AR01321R,DDK00AR01S21R,DDK00AS01221R,DDK00AS01321R,DDK00AS01S21R,DDK00AW01221R,DDK00AW01321R,DDK00AW01S21R,DDL00A001221R,DDL00A001321R,DDL00A001S21R,DDL00AC01221R,DDL00AC01321R,DDL00AC01S21R,DDL00AM01221R,DDL00AM01321R,DDL00AM01S21R,DDL00AR01221R,DDL00AR01321R,DDL00AR01S21R,DDL00AS01221R,DDL00AS01321R,DDL00AS01S21R,DDL00AW01221R,DDL00AW01321R,DDL00AW01S21R,DDQ00A001221R,DDQ00A001321R,DDQ00A001S21R,DDQ00AC01221R,DDQ00AC01321R,DDQ00AC01S21R,DDQ00AM01221R,DDQ00AM01321R,DDQ00AM01S21R,DDQ00AR01221R,DDQ00AR01321R,DDQ00AR01S21R,DDQ00AS01221R,DDQ00AS01321R,DDQ00AS01S21R,DDQ00AW01221R,DDQ00AW01321R,DDQ00AW01S21R,DDT00A001221R,DDT00A001321R,DDT00A001S21R,DDT00AC01221R,DDT00AC01321R,DDT00AC01S21R,DDT00AM01221R,DDT00AM01321R,DDT00AM01S21R,DDT00AR01221R,DDT00AR01321R,DDT00AR01S21R,DDT00AS01221R,DDT00AS01321R,DDT00AS01S21R,DDT00AW01221R,DDT00AW01321R,DDT00AW01S21R,DDU00A001221R,DDU00A001321R,DDU00A001S21R,DDU00AC01221R,DDU00AC01321R,DDU00AC01S21R,DDU00AM01221R,DDU00AM01321R,DDU00AM01S21R,DDU00AR01221R,DDU00AR01321R,DDU00AR01S21R,DDU00AS01221R,DDU00AS01321R,DDU00AS01S21R,DDU00AW01221R,DDU00AW01321R,DDU00AW01S21R,DDX00A001221R,DDX00A001321R,DDX00A001S21R,DDX00AC01221R,DDX00AC01321R,DDX00AC01S21R,DDX00AM01221R,DDX00AM01321R,DDX00AM01S21R,DDX00AR01221R,DDX00AR01321R,DDX00AR01S21R,DDX00AS01221R,DDX00AS01321R,DDX00AS01S21R,DDX00AW01221R,DDX00AW01321R,DDX00AW01S21R,DDY00A001221R,DDY00A001321R,DDY00A001S21R,DDY00AC01221R,DDY00AC01321R,DDY00AC01S21R,DDY00AM01221R,DDY00AM01321R,DDY00AM01S21R,DDY00AR01221R,DDY00AR01321R,DDY00AR01S21R,DDY00AS01221R,DDY00AS01321R,DDY00AS01S21R,DDY00AW01221R,DDY00AW01321R,DDY00AW01S21R,DDZ00A001221R,DDZ00A001321R,DDZ00A001S21R,DDZ00AC01221R,DDZ00AC01321R,DDZ00AC01S21R,DDZ00AM01221R,DDZ00AM01321R,DDZ00AM01S21R,DDZ00AR01221R,DDZ00AR01321R,DDZ00AR01S21R,DDZ00AS01221R,DDZ00AS01321R,DDZ00AS01S21R,DDZ00AW01221R,DDZ00AW01321R,DDZ00AW01S21R,DISTNAME,DNB00A001221R,DNB00A001321R,DNB00A001S21R,DNB00AC01221R,DNB00AC01321R,DNB00AC01S21R,DNB00AM01221R,DNB00AM01321R,DNB00AM01S21R,DNB00AR01221R,DNB00AR01321R,DNB00AR01S21R,DNB00AS01221R,DNB00AS01321R,DNB00AS01S21R,DNB00AW01221R,DNB00AW01321R,DNB00AW01S21R,DNE00A001221R,DNE00A001321R,DNE00A001S21R,DNE00AC01221R,DNE00AC01321R,DNE00AC01S21R,DNE00AM01221R,DNE00AM01321R,DNE00AM01S21R,DNE00AR01221R,DNE00AR01321R,DNE00AR01S21R,DNE00AS01221R,DNE00AS01321R,DNE00AS01S21R,DNE00AW01221R,DNE00AW01321R,DNE00AW01S21R,DNN00A001221R,DNN00A001321R,DNN00A001S21R,DNN00AC01221R,DNN00AC01321R,DNN00AC01S21R,DNN00AM01221R,DNN00AM01321R,DNN00AM01S21R,DNN00AR01221R,DNN00AR01321R,DNN00AR01S21R,DNN00AS01221R,DNN00AS01321R,DNN00AS01S21R,DNN00AW01221R,DNN00AW01321R,DNN00AW01S21R,DNT00A001221R,DNT00A001321R,DNT00A001S21R,DNT00AC01221R,DNT00AC01321R,DNT00AC01S21R,DNT00AM01221R,DNT00AM01321R,DNT00AM01S21R,DNT00AR01221R,DNT00AR01321R,DNT00AR01S21R,DNT00AS01221R,DNT00AS01321R,DNT00AS01S21R,DNT00AW01221R,DNT00AW01321R,DNT00AW01S21R
"'003903",42,19,68,48,22,74,40,19,68,41,16,67,57,37,79,29,7,55,20,7,50,24,8,62,27,9,56,14,5,43,33,12,64,8,2,31,7,0,33,-1,-1,-1,0,0,20,0,0,50,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23,8,55,25,8,60,28,10,60,19,6,52,32,11,64,10,1,35,61,27,90,67,26,89,60,32,90,62,21,92,76,63,91,36,7,80,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,45,19,75,49,18,73,43,22,75,46,15,78,76,63,91,25,5,57,29,15,55,26,16,48,39,19,65,25,13,57,.,.,.,13,4,29,18,4,49,23,5,66,23,5,53,11,2,39,33,12,64,5,1,33,35,10,65,-1,-1,-1,14,14,43,25,0,63,-1,-1,-1,-1,-1,-1,"LUFKIN ISD",11,3,43,11,2,39,10,3,47,13,3,48,.,.,.,0,0,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,44,21,69,50,24,75,40,19,68,44,18,68,58,38,79,32,9,58,69,30,91,70,30,93,68,34,90,68,21,89,75,49,94,59,12,97
"'003904",44,19,73,47,21,79,47,22,76,44,18,71,45,20,70,31,7,63,18,8,68,-1,-1,-1,14,7,71,13,6,56,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18,8,68,-1,-1,-1,14,7,71,13,6,56,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,17,0,75,-1,-1,-1,-1,-1,-1,0,0,60,-1,-1,-1,.,.,.,18,11,64,-1,-1,-1,9,9,73,18,9,55,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"HUNTINGTON ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,44,19,73,47,21,78,47,22,76,44,18,71,44,19,70,31,7,63,83,33,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.
"'003905",41,16,72,43,16,78,46,20,77,40,13,69,44,24,76,22,5,56,24,6,59,24,11,61,30,7,70,24,5,53,19,0,67,11,3,37,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,24,6,60,22,9,59,31,8,70,24,5,55,18,0,67,10,2,39,18,0,64,.,.,.,11,0,44,22,0,78,.,.,.,-1,-1,-1,31,20,74,11,6,61,50,33,89,33,22,72,.,.,.,.,.,.,28,14,71,11,6,61,37,22,74,30,15,74,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,24,6,59,24,11,61,30,7,70,24,5,53,19,0,67,11,3,37,32,5,77,-1,-1,-1,67,17,83,25,0,75,-1,-1,-1,-1,-1,-1,"DIBOLL ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,43,17,73,48,17,81,47,21,78,43,14,70,46,25,76,23,5,56,69,35,92,68,28,100,79,47,92,61,26,87,79,53,95,50,14,100
"'003906",38,14,68,37,11,70,37,15,69,43,17,69,38,11,62,29,8,58,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ZAVALLA ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,38,14,68,37,11,70,37,15,69,43,17,69,38,11,62,29,8,58,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'003907",43,17,72,37,14,71,43,18,74,47,19,72,48,21,75,35,6,68,15,4,49,0,0,20,20,12,60,10,0,42,-1,-1,-1,40,0,60,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,4,49,0,0,17,23,12,62,9,0,44,-1,-1,-1,40,0,60,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11,0,22,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,15,5,53,0,0,20,24,14,67,7,0,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,"CENTRAL ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,44,18,73,37,14,71,44,19,75,48,20,73,48,21,76,34,7,68,41,13,73,39,6,89,29,9,67,45,23,72,71,14,71,50,0,75
"'004901",33,13,60,35,12,61,27,10,55,37,14,62,47,27,71,26,7,54,8,4,29,6,3,18,10,6,32,8,4,32,0,0,19,8,4,29,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,4,29,6,3,18,10,6,32,8,4,32,0,0,19,8,4,29,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,4,29,6,3,18,10,6,32,8,4,32,0,0,19,8,4,29,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,"ARANSAS COUNTY ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,35,14,61,36,13,63,27,10,55,38,15,63,49,28,73,27,7,55,43,13,75,33,7,67,43,21,64,44,6,75,50,28,94,38,0,88
"'005901",61,31,87,67,29,94,57,33,89,65,34,86,54,28,78,60,19,90,40,0,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,0,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,67,0,83,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ARCHER CITY ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,61,31,87,67,28,93,57,33,88,65,34,86,54,29,78,59,20,90,92,42,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'005902",59,27,84,63,23,88,57,27,84,61,27,83,75,43,92,38,10,74,40,0,80,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,0,80,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,0,80,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"HOLLIDAY ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,59,27,84,63,23,88,58,28,84,61,28,83,75,44,92,38,10,74,83,33,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.
"'005904",64,30,85,66,31,93,67,33,84,61,29,84,61,33,86,58,18,76,32,9,53,29,0,86,38,4,54,42,21,58,-1,-1,-1,0,0,22,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,21,5,40,-1,-1,-1,20,7,40,33,7,47,-1,-1,-1,0,0,17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,32,9,53,29,0,86,38,4,54,42,21,58,-1,-1,-1,0,0,22,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"WINDTHORST ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,66,32,88,68,36,93,70,35,87,63,30,87,59,34,88,68,21,85,69,27,86,67,11,100,80,27,87,61,39,83,100,33,100,-1,-1,-1
"'006902",61,33,88,67,38,92,65,42,93,59,27,86,53,29,80,51,19,77,25,0,63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25,0,63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25,0,63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"CLAUDE ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,61,33,88,68,38,92,64,42,93,59,28,86,56,29,83,51,19,77,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.
"'007901",34,15,63,36,14,74,38,21,69,34,13,58,37,17,62,11,2,46,18,10,43,17,17,67,27,13,40,16,5,37,0,0,40,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,17,10,42,14,14,57,25,13,44,15,5,35,0,0,40,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19,11,45,17,17,67,29,14,43,17,6,39,0,0,40,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,"CHARLOTTE ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,35,16,65,38,14,76,39,21,70,35,14,61,40,18,64,10,0,44,33,0,83,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1
"'007902",45,21,74,47,21,80,46,24,74,45,18,76,56,35,76,29,8,55,29,8,60,20,0,50,40,20,68,25,0,59,-1,-1,-1,17,0,67,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,32,7,62,27,0,55,42,19,69,27,0,61,40,20,40,17,0,67,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30,8,61,20,0,50,43,22,70,24,0,62,-1,-1,-1,20,0,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,"JOURDANTON ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,17,0,50,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,45,21,74,47,22,80,46,24,74,45,19,76,56,36,76,28,8,54,92,50,100,-1,-1,-1,100,63,100,100,38,100,-1,-1,-1,-1,-1,-1
"'007904",28,8,61,30,8,65,24,7,60,31,10,61,30,11,65,23,6,49,15,4,46,12,2,44,19,3,50,15,5,45,8,0,50,12,4,36,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,4,46,12,2,44,18,3,49,15,5,45,8,0,50,12,4,36,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16,5,48,14,3,46,20,4,54,16,7,47,0,0,43,14,5,36,12,0,42,8,0,38,13,0,35,14,0,42,14,0,55,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,"LYTLE ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,29,9,62,32,8,68,25,8,61,32,10,63,32,12,67,24,6,51,62,26,91,55,36,82,54,15,92,72,33,100,60,20,80,-1,-1,-1
"'007905",39,16,66,48,19,76,36,16,67,39,13,64,52,31,80,18,6,42,24,6,57,31,6,80,24,7,60,26,7,56,10,0,55,12,0,20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,29,9,60,40,15,81,28,9,62,31,8,58,29,11,64,11,0,18,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,24,6,57,31,6,80,24,7,60,27,7,57,10,0,55,12,0,20,54,24,71,67,42,83,47,20,73,52,14,67,75,38,88,-1,-1,-1,"PLEASANTON ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,39,16,66,48,20,76,37,16,67,39,14,64,53,32,81,19,6,44,-1,-1,-1,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.
"'007906",30,10,58,25,7,59,27,9,54,35,11,63,30,12,56,26,6,56,25,9,55,44,6,56,23,11,57,28,13,62,0,0,40,25,0,38,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25,10,57,34,6,50,29,15,67,23,12,58,0,0,40,19,0,44,23,10,60,21,0,43,31,17,76,21,10,55,.,.,.,11,0,56,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23,10,60,21,0,43,31,17,76,21,10,55,.,.,.,11,0,56,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25,9,55,44,6,56,23,11,57,28,13,62,0,0,40,25,0,38,57,29,86,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,"POTEET ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30,9,58,23,6,60,26,9,52,36,11,62,31,13,57,26,6,56,77,35,90,86,43,86,67,0,83,82,45,100,-1,-1,-1,-1,-1,-1
"'008901",42,17,69,42,13,72,35,17,64,46,18,69,50,27,78,40,12,68,8,2,34,13,0,35,7,4,39,10,1,30,5,5,30,0,0,50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10,3,35,12,0,37,7,4,39,12,2,32,9,5,36,4,0,33,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13,3,38,12,0,35,9,4,44,18,5,35,.,.,.,13,0,27,75,38,75,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,5,0,33,14,0,38,2,0,37,6,0,28,0,0,26,0,0,50,17,0,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,"BELLVILLE ISD",13,3,38,12,0,35,9,4,44,18,5,35,.,.,.,13,0,27,13,13,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,45,19,71,45,14,74,38,18,66,50,21,72,55,30,82,42,13,70,43,10,82,38,4,77,35,16,84,52,9,85,20,7,67,64,9,91
"'008902",41,17,70,45,19,76,39,17,73,42,16,67,58,27,82,22,5,50,13,2,43,21,2,54,12,2,48,11,2,37,16,5,58,7,0,23,20,7,49,8,0,53,26,6,57,23,12,48,.,.,.,7,0,18,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,4,45,16,1,53,18,4,52,15,5,40,16,5,58,6,0,21,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,7,49,8,0,53,26,6,57,23,12,48,.,.,.,7,0,18,20,6,46,43,14,57,14,5,38,18,6,48,-1,-1,-1,-1,-1,-1,11,1,41,20,0,50,11,1,46,9,0,35,14,6,56,0,0,14,6,3,35,-1,-1,-1,15,8,54,0,0,20,.,.,.,-1,-1,-1,"SEALY ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12,2,46,11,0,67,15,5,65,7,2,28,33,0,83,20,0,40,46,19,74,51,23,80,44,20,76,47,18,73,63,30,84,25,5,56,41,8,78,-1,-1,-1,29,7,79,38,6,69,60,20,100,.,.,.
"'008903",52,23,79,54,28,81,53,27,79,51,20,77,63,32,90,34,10,66,33,12,63,35,20,70,42,18,69,27,8,60,38,0,100,18,6,29,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,32,14,62,35,22,65,40,18,66,28,11,61,38,0,100,17,6,28,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,33,12,63,35,20,70,42,18,69,27,8,60,38,0,100,18,6,29,31,23,54,-1,-1,-1,30,20,50,33,25,67,.,.,.,-1,-1,-1,"BRAZOS ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,55,25,81,53,27,82,57,29,81,53,22,79,66,35,89,41,12,72,58,23,92,100,46,100,48,24,88,70,18,94,43,29,100,14,7,86
"'009901",34,14,62,42,16,71,33,19,64,35,11,61,37,18,60,19,4,48,12,5,41,19,5,51,13,8,48,13,2,39,7,7,24,0,0,27,18,8,49,26,6,57,22,14,58,15,5,43,.,.,.,8,0,27,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,6,45,22,5,55,18,11,53,15,3,42,7,7,23,5,0,27,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18,8,49,26,6,57,22,14,58,15,5,43,.,.,.,8,0,27,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12,5,41,19,5,51,13,8,48,13,2,39,7,7,24,0,0,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,"MULESHOE ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,38,17,66,47,19,76,37,22,66,39,12,65,44,21,66,19,5,49,59,20,86,61,22,83,56,26,88,69,20,87,33,8,75,48,10,86
